ADM_CD,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
1107055,12669.4561,12827.5916,12639.655700000001,12609.0226,12591.0008,12329.4538,12287.1646,11614.421699999999,10463.5679,9672.2818,9249.2287,9383.3019,9199.901,9400.0659,9566.9176,9647.7757,10086.6897,10261.2231,10771.9633,11290.1983,11319.428100000001,11744.377400000001,11826.9731,12414.1661
1107071,30748.4056,30666.9827,30829.6715,30783.3763,30745.4199,30112.0817,29102.2958,27181.3482,23939.7,22268.6476,21429.2511,21049.0828,20944.1686,20758.1269,20970.4508,21459.4397,21980.736100000002,23004.9241,24752.9024,25983.7547,26362.406,27419.112399999998,28461.2627,29770.3997
1107057,17744.4317,18091.0837,18221.1088,18456.3237,18233.1594,17963.194199999998,17006.5286,15819.019400000001,13459.2381,12716.8765,12236.6033,11744.8083,11958.2335,11794.2045,11815.9453,12350.7484,12749.1294,13118.5736,13753.3385,14599.3795,15259.9866,15703.892,16373.903,17103.3384
1107072,21252.2536,21096.6562,20843.3172,20883.3289,20832.401,20461.884,19904.4795,19175.109,19067.7685,18603.2916,18779.0537,18477.9392,18512.875500000002,18276.3105,18394.5536,18283.8959,18349.5433,18430.0434,19320.5785,20548.4655,20654.481200000002,21137.4276,21395.678499999998,22079.8132
1107059,15841.5061,15986.3642,16165.3832,16162.8863,16184.3366,16125.2985,16018.5145,16154.8473,17570.8394,16916.904300000002,16624.7751,16237.7532,15805.8879,15651.0977,15664.2765,14887.3565,14636.4614,15277.3599,15741.9554,15232.7553,15263.1243,15449.1968,15890.9159,15472.7469
1107060,24584.5156,24440.636300000002,24245.7838,23999.0375,23644.5163,23834.6299,23416.367599999998,23097.2646,20967.0391,21556.1311,22346.6391,22505.2371,22787.4639,23076.2441,23552.4261,24735.7629,24812.0182,26245.0108,28584.0589,30810.0018,31368.240299999998,30074.5412,29526.9183,26112.6518
1107061,18755.6825,19167.5756,19595.5382,19553.2229,19379.1534,19073.13,17995.3519,16947.9944,16090.5835,15417.978,14932.5001,14694.048999999999,14816.1349,14251.4789,13440.8488,13126.5299,12694.1896,12555.6622,13034.4444,13960.8509,14890.4116,15681.9269,16720.0375,17473.0107
1107062,25518.0696,25433.0441,25351.141,25442.423,25386.1315,25228.4836,25103.0271,24417.6743,21082.8027,20065.2595,19393.4377,19263.7536,19085.2575,18991.9461,19356.5362,20318.925,21364.6416,22243.0618,23709.8206,23795.3449,24695.257400000002,24821.7659,25451.5362,25329.6304
1107064,27135.2634,26803.1139,27094.9851,27169.5615,27103.554,26976.9669,26445.5096,25041.0343,23010.1642,21692.0617,21115.6242,20707.941899999998,20378.1922,19907.113,20422.5393,20697.561999999998,20594.5032,21153.0728,22526.0636,23439.9666,24485.2345,25435.0973,26078.4461,26220.8907
1107065,18582.0015,18968.196,18888.5481,18824.3771,18731.3687,18550.1511,18362.8264,17071.87,15381.063400000001,14754.2293,14440.284599999999,14347.557200000001,14258.3932,14276.6991,14446.7287,15087.6737,15555.2535,16104.7814,16814.9487,17982.4533,18587.1769,18663.3248,19301.7271,18092.7497
1107073,41664.4974,42249.1206,42739.6453,42462.0043,42209.1742,42052.5789,41390.3351,40749.7954,40182.75,39215.8593,39186.8356,39681.7844,39621.929599999996,39270.7056,38739.8262,38062.5193,38039.8643,38234.0989,39699.241200000004,40089.5989,40820.5761,41243.2382,42039.968,40852.7415
1107068,12789.4612,12974.6744,12997.079,13112.2572,12816.277900000001,12528.928,11814.8841,10777.1111,10382.5889,9275.965,8755.4503,8655.2738,8468.3331,8307.5537,8064.0424,8097.5539,7993.7304,8215.5289,8493.2274,9067.6035,9395.3061,9802.3249,10352.2062,12424.859199999999
1107069,34603.7547,34054.202,33789.2581,33997.746100000004,34189.0946,33949.9912,34204.648199999996,33870.4265,31196.8023,29041.417100000002,28057.2472,27486.0323,27514.4336,27512.619,28031.3159,28827.0035,30044.6188,31704.7931,32294.9451,32920.2722,32924.8219,33166.3886,33725.2675,34751.5336
1107070,17203.3884,17026.426,16983.3031,16979.2223,16897.6958,16644.3828,16051.5528,15247.9378,14462.8802,14228.9439,13627.822900000001,13453.5832,13332.5638,12935.2724,13114.514500000001,13450.5704,13856.7481,13559.8884,13412.0735,14324.7119,14581.6276,14791.4566,14970.914999999999,17019.0022
1108081,20626.882,21037.4586,20939.107,20864.9938,21017.9002,20983.6037,21047.8959,21809.0379,21111.631699999998,20313.2937,19803.489999999998,19760.3694,19567.605199999998,19610.9305,19090.8974,18536.3136,18639.0688,19186.9446,19851.9982,20110.4422,19656.8388,19241.6756,19474.2946,20025.8246
1108082,24640.7471,24632.8151,24324.9214,24329.587900000002,24536.1278,24627.8433,24806.7319,25070.6364,25085.0513,25147.6687,25094.710600000002,25099.9001,25964.2164,26196.3971,26358.9665,26839.845699999998,26938.9078,27771.1604,28891.6185,28886.656,28844.1346,28595.911,27623.550900000002,24174.0153
1108083,22255.324,22156.949099999998,22275.2162,22015.9743,22031.4908,22348.2273,22681.7057,23945.6315,24736.7876,24210.7784,24149.993300000002,25218.5664,24702.240700000002,24949.803,25008.8977,24555.5131,24696.6282,25630.7408,27395.950100000002,26873.0685,27030.6774,26190.7311,24490.2188,23260.8919
1108058,13575.4904,13437.305199999999,13313.7462,13362.0576,13407.5309,13108.591,12835.2731,12714.0097,11260.2587,10319.4724,9682.2945,9607.8445,9506.6636,9157.7023,9231.6102,9357.8211,9112.3988,9747.4815,10332.8629,10611.214,10853.4224,11530.7225,11998.6983,13555.683500000001
1108059,17492.1056,17238.4203,17094.7369,17348.1623,17209.5256,17052.9274,16384.0395,14084.1442,12333.0435,10854.0069,10300.9591,9544.4277,9519.8655,9591.522,9839.3558,10434.4978,10789.1653,11069.5475,11444.404,12090.4543,13015.8848,14144.0194,15293.8878,16627.9717
