Model_Num,Serial_Num,Type,Date,TempMax
SDOT001,OC3CL200256,industrial_area,20240804,28.8
SDOT001,OC3CL200257,roads_and_parks,20240804,34.4
SDOT001,OC3CL200259,commercial_area,20240804,39.0
SDOT001,OC3CL210102,residential_area,20240804,38.7
SDOT001,OC3CL210104,residential_area,20240804,38.9
SDOT001,OC3CL210105,residential_area,20240804,39.6
SDOT001,OC3CL210110,residential_area,20240804,38.0
SDOT001,OC3CL210111,residential_area,20240804,38.2
SDOT001,OC3CL210112,residential_area,20240804,37.7
SDOT001,OC3CL210113,residential_area,20240804,39.1
SDOT001,OC3CL210114,residential_area,20240804,39.5
SDOT001,OC3CL210300,residential_area,20240804,38.3
SDOT001,OC3DL220001,residential_area,20240804,37.7
SDOT001,OC3DL220001,residential_area,20240804,36.9
SDOT001,OC3DL220001,residential_area,20240804,38.7
SDOT001,OC3DL220020,residential_area,20240804,37.2
SDOT001,OC3DL220021,residential_area,20240804,37.5
SDOT001,OC3DL220022,residential_area,20240804,37.8
SDOT001,OC3DL230025,residential_area,20240804,36.8
SDOT001,OC3DL230026,residential_area,20240804,38.4
SDOT001,V02Q1940043,residential_area,20240804,39.2
SDOT001,V02Q1940044,residential_area,20240804,37.6
SDOT001,V02Q1940045,residential_area,20240804,38.3
SDOT001,V02Q1940047,residential_area,20240804,39.8
SDOT001,V02Q1940049,residential_area,20240804,40.4
SDOT001,V02Q1940050,residential_area,20240804,38.6
SDOT001,V02Q1940051,residential_area,20240804,38.1
SDOT001,V02Q1940052,residential_area,20240804,38.2
SDOT001,V02Q1940053,residential_area,20240804,38.7
SDOT001,V02Q1940054,residential_area,20240804,38.9
SDOT001,V02Q1940057,industrial_area,20240804,39.4
SDOT001,V02Q1940058,residential_area,20240804,37.4
SDOT001,V02Q1940060,residential_area,20240804,37.1
SDOT001,V02Q1940062,residential_area,20240804,39.1
SDOT001,V02Q1940063,residential_area,20240804,37.3
SDOT001,V02Q1940064,residential_area,20240804,39.7
SDOT001,V02Q1940065,residential_area,20240804,37.9
SDOT001,V02Q1940066,residential_area,20240804,40.8
SDOT001,V02Q1940067,residential_area,20240804,36.8
SDOT001,V02Q1940068,residential_area,20240804,38.9
SDOT001,V02Q1940069,residential_area,20240804,38.6
SDOT001,V02Q1940070,residential_area,20240804,37.2
SDOT001,V02Q1940071,residential_area,20240804,39.2
SDOT001,V02Q1940072,residential_area,20240804,38.1
SDOT001,V02Q1940073,commercial_area,20240804,37.3
SDOT001,V02Q1940074,residential_area,20240804,37.3
SDOT001,V02Q1940075,residential_area,20240804,37.5
SDOT001,V02Q1940076,traditional_markets,20240804,40.5
SDOT001,V02Q1940077,residential_area,20240804,38.6
SDOT001,V02Q1940081,residential_area,20240804,39.9
SDOT001,V02Q1940082,industrial_area,20240804,38.0
SDOT001,V02Q1940083,residential_area,20240804,36.5
SDOT001,V02Q1940084,residential_area,20240804,37.5
SDOT001,V02Q1940085,residential_area,20240804,40.4
SDOT001,V02Q1940088,commercial_area,20240804,37.8
SDOT001,V02Q1940089,residential_area,20240804,37.2
SDOT001,V02Q1940090,industrial_area,20240804,38.2
SDOT001,V02Q1940091,residential_area,20240804,38.7
SDOT001,V02Q1940092,residential_area,20240804,39.0
SDOT001,V02Q1940094,residential_area,20240804,36.9
SDOT001,V02Q1940095,residential_area,20240804,39.1
SDOT001,V02Q1940096,commercial_area,20240804,38.2
SDOT001,V02Q1940097,residential_area,20240804,36.9
SDOT001,V02Q1940099,residential_area,20240804,37.7
SDOT001,V02Q1940100,industrial_area,20240804,38.7
SDOT001,V02Q1940101,residential_area,20240804,38.4
