Model_Num,Serial_Num,Year,Month,Day,Hour,Type,Gu_Name,Dong_Name,Temp
SDOT001,OC3CL200195,2023,1,6,15,roads_and_parks,Dongdaemun-gu,Imun2-dong,5.0
SDOT001,OC3CL200195,2023,1,6,16,roads_and_parks,Dongdaemun-gu,Imun2-dong,5.0
SDOT001,OC3CL200195,2023,1,6,17,roads_and_parks,Dongdaemun-gu,Imun2-dong,5.0
SDOT001,OC3CL200195,2023,1,6,18,roads_and_parks,Dongdaemun-gu,Imun2-dong,4.3
SDOT001,OC3CL200195,2023,1,6,19,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.5
SDOT001,OC3CL200195,2023,1,6,20,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.0
SDOT001,OC3CL200195,2023,1,6,21,roads_and_parks,Dongdaemun-gu,Imun2-dong,2.9
SDOT001,OC3CL200195,2023,1,6,22,roads_and_parks,Dongdaemun-gu,Imun2-dong,1.0
SDOT001,OC3CL200195,2023,1,6,23,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.9
SDOT001,OC3CL200195,2023,1,7,0,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.5
SDOT001,OC3CL200195,2023,1,7,1,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.8
SDOT001,OC3CL200195,2023,1,7,3,roads_and_parks,Dongdaemun-gu,Imun2-dong,1.4
SDOT001,OC3CL200195,2023,1,7,5,roads_and_parks,Dongdaemun-gu,Imun2-dong,1.5
SDOT001,OC3CL200195,2023,1,7,6,roads_and_parks,Dongdaemun-gu,Imun2-dong,1.6
SDOT001,OC3CL200195,2023,1,7,7,roads_and_parks,Dongdaemun-gu,Imun2-dong,1.8
SDOT001,OC3CL200195,2023,1,7,8,roads_and_parks,Dongdaemun-gu,Imun2-dong,1.8
SDOT001,OC3CL200195,2023,1,7,9,roads_and_parks,Dongdaemun-gu,Imun2-dong,1.6
SDOT001,OC3CL200195,2023,1,7,10,roads_and_parks,Dongdaemun-gu,Imun2-dong,1.8
SDOT001,OC3CL200195,2023,1,7,11,roads_and_parks,Dongdaemun-gu,Imun2-dong,2.2
SDOT001,OC3CL200195,2023,1,7,12,roads_and_parks,Dongdaemun-gu,Imun2-dong,2.2
SDOT001,OC3CL200195,2023,1,7,13,roads_and_parks,Dongdaemun-gu,Imun2-dong,2.8
SDOT001,OC3CL200195,2023,1,7,14,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.4
SDOT001,OC3CL200195,2023,1,7,15,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.3
SDOT001,OC3CL200195,2023,1,7,16,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.2
SDOT001,OC3CL200195,2023,1,7,17,roads_and_parks,Dongdaemun-gu,Imun2-dong,2.9
SDOT001,OC3CL200195,2023,1,7,18,roads_and_parks,Dongdaemun-gu,Imun2-dong,2.5
SDOT001,OC3CL200195,2023,1,7,19,roads_and_parks,Dongdaemun-gu,Imun2-dong,2.0
SDOT001,OC3CL200195,2023,1,7,20,roads_and_parks,Dongdaemun-gu,Imun2-dong,1.2
SDOT001,OC3CL200195,2023,1,7,21,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.7
SDOT001,OC3CL200195,2023,1,7,22,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.8
SDOT001,OC3CL200195,2023,1,7,23,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.2
SDOT001,OC3CL200195,2023,1,8,0,roads_and_parks,Dongdaemun-gu,Imun2-dong,-0.4
SDOT001,OC3CL200195,2023,1,8,1,roads_and_parks,Dongdaemun-gu,Imun2-dong,-1.0
SDOT001,OC3CL200195,2023,1,8,2,roads_and_parks,Dongdaemun-gu,Imun2-dong,-1.0
SDOT001,OC3CL200195,2023,1,8,3,roads_and_parks,Dongdaemun-gu,Imun2-dong,-1.3
SDOT001,OC3CL200195,2023,1,8,5,roads_and_parks,Dongdaemun-gu,Imun2-dong,-2.8
SDOT001,OC3CL200195,2023,1,8,6,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.3
SDOT001,OC3CL200195,2023,1,8,7,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.1
SDOT001,OC3CL200195,2023,1,8,8,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.3
SDOT001,OC3CL200195,2023,1,8,9,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.4
SDOT001,OC3CL200195,2023,1,8,10,roads_and_parks,Dongdaemun-gu,Imun2-dong,-2.2
SDOT001,OC3CL200195,2023,1,8,11,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.6
SDOT001,OC3CL200195,2023,1,8,12,roads_and_parks,Dongdaemun-gu,Imun2-dong,2.5
SDOT001,OC3CL200195,2023,1,8,13,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.7
SDOT001,OC3CL200195,2023,1,8,14,roads_and_parks,Dongdaemun-gu,Imun2-dong,4.9
SDOT001,OC3CL200195,2023,1,8,15,roads_and_parks,Dongdaemun-gu,Imun2-dong,4.7
SDOT001,OC3CL200195,2023,1,8,16,roads_and_parks,Dongdaemun-gu,Imun2-dong,4.6
SDOT001,OC3CL200195,2023,1,8,17,roads_and_parks,Dongdaemun-gu,Imun2-dong,4.2
SDOT001,OC3CL200195,2023,1,8,18,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.9
SDOT001,OC3CL200195,2023,1,8,19,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.5
SDOT001,OC3CL200195,2023,1,8,20,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.3
SDOT001,OC3CL200195,2023,1,8,21,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.4
SDOT001,OC3CL200195,2023,1,8,22,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.5
SDOT001,OC3CL200195,2023,1,8,23,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.5
SDOT001,OC3CL200196,2023,1,2,0,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-2.2
SDOT001,OC3CL200196,2023,1,2,1,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-2.8
SDOT001,OC3CL200196,2023,1,2,2,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.7
SDOT001,OC3CL200196,2023,1,2,3,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-4.3
SDOT001,OC3CL200196,2023,1,2,5,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-5.1
SDOT001,OC3CL200196,2023,1,2,6,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-6.1
SDOT001,OC3CL200196,2023,1,2,7,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-6.4
SDOT001,OC3CL200196,2023,1,2,8,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-5.2
SDOT001,OC3CL200196,2023,1,2,9,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-5.1
SDOT001,OC3CL200196,2023,1,2,10,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-4.8
SDOT001,OC3CL200196,2023,1,2,11,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.8
SDOT001,OC3CL200196,2023,1,2,12,residential_area,Dongdaemun-gu,Cheongnyangni-dong,0.1
SDOT001,OC3CL200196,2023,1,2,13,residential_area,Dongdaemun-gu,Cheongnyangni-dong,2.4
SDOT001,OC3CL200196,2023,1,2,14,residential_area,Dongdaemun-gu,Cheongnyangni-dong,3.3
SDOT001,OC3CL200196,2023,1,2,15,residential_area,Dongdaemun-gu,Cheongnyangni-dong,2.5
SDOT001,OC3CL200196,2023,1,2,16,residential_area,Dongdaemun-gu,Cheongnyangni-dong,1.1
